checkNo,daysWorked,HourlyPay,grossPay,taxWithheld,netPay,grossPayYTD,taxWithheldYTD,nePayYTD,wId
1021,2, $ 11.36 , $ 181.76 , $ 36.35 , $ 145.41 , $ 181.76 , $ 36.35 , $ 145.41 ,B1EA672A
1022,7, $ 8.78 , $ 491.68 , $ 98.34 , $ 393.34 , $ 491.68 , $ 98.34 , $ 393.34 ,37F4F59D
1023,7, $ 8.78 , $ 491.68 , $ 98.34 , $ 393.34 , $ 983.36 , $ 196.68 , $ 786.68 ,37F4F59D
1024,6, $ 8.78 , $ 421.44 , $ 84.29 , $ 337.15 ," $ 1,404.80 ", $ 280.96 ," $ 1,123.84 ",37F4F59D
1025,6, $ 11.65 , $ 559.20 , $ 111.84 , $ 447.36 , $ 559.20 , $ 111.87 , $ 447.36 ,58BCD7C3
1026,7, $ 9.42 , $ 527.52 , $ 105.50 , $ 422.02 , $ 527.52 , $ 105.50 , $ 422.02 ,B6979BBE
1027,6, $ 9.42 , $ 452.16 , $ 90.43 , $ 361.73 , $ 979.68 , $ 195.93 , $ 783.75 ,B6979BBE
2028,2, $ 11.51 , $ 184.16 , $ 36.83 , $ 147.33 , $ 184.16 , $ 36.83 , $ 147.33 ,87E8D390
2029,7, $ 9.57 , $ 535.92 , $ 107.18 , $ 428.74 , $ 535.92 , $ 107.18 , $ 428.74 ,03DD7FB6
2037,7, $ 9.57 , $ 535.92 , $ 107.18 , $ 428.74 ," $ 1,071.84 ", $ 214.36 , $ 857.48 ,03DD7FB6
1038,7, $ 9.57 , $ 535.92 , $ 107.18 , $ 428.74 ," $ 1,607.76 ", $ 321.55 ," $ 1,286.21 ",03DD7FB6
1039,7, $ 9.57 , $ 535.92 , $ 107.18 , $ 428.74 ," $ 2,143.68 ", $ 428.73 ," $ 1,714.95 ",03DD7FB6
1040,7, $ 9.57 , $ 535.92 , $ 107.18 , $ 428.74 ," $ 2,679.60 ", $ 535.92 ," $ 2,143.68 ",03DD7FB6
1560,7, $ 9.57 , $ 535.92 , $ 107.18 , $ 428.74 ," $ 3,215.52 ", $ 643.10 ," $ 2,572.42 ",03DD7FB6
1041,6, $ 9.57 , $ 459.36 , $ 91.87 , $ 367.49 ," $ 3,674.88 ", $ 734.97 ," $ 2,939.91 ",03DD7FB6
1042,7, $ 10.02 , $ 561.12 , $ 112.22 , $ 448.90 , $ 561.12 , $ 112.22 , $ 448.90 ,F3E19D5E
2100,2, $ 10.02 , $ 160.32 , $ 32.06 , $ 128.26 , $ 721.44 , $ 144.28 , $ 577.16 ,F3E19D5E
2101,5, $ 11.17 , $ 446.80 , $ 89.36 , $ 357.44 , $ 446.80 , $ 89.36 , $ 357.44 ,F3D4D51E
2102,7, $ 9.92 , $ 555.52 , $ 111.10 , $ 444.42 , $ 555.52 , $ 111.10 , $ 444.42 ,E4117DE9
2103,7, $ 9.92 , $ 555.52 , $ 111.10 , $ 444.42 ," $ 1,111.04 ", $ 222.20 , $ 888.84 ,E4117DE9
2110,5, $ 9.92 , $ 396.80 , $ 79.36 , $ 317.44 ," $ 1,507.84 ", $ 301.56 ," $ 1,206.28 ",E4117DE9
2111,7, $ 8.97 , $ 502.32 , $ 100.46 , $ 401.86 , $ 502.32 , $ 100.46 , $ 401.86 ,A492113E