wId,degree,field,Institution,YearEarned
B1EA672A,B.S.,MIS,Rose-Hulman Institute of Technology,1994
37F4F59D,B.A.,CS,University of Wisconsin,1993
58BCD7C3,B.S.,CIS,New York Institute of Technology,1995
B6979BBE,B.A.,ITE,University of Alabama,2005
87E8D390,Certificate,EE,Herzing University,1997
03DD7FB6,A.S.,CS,Georgia State University,2013
F3E19D5E,A.S.,CIS,Texas Tech,1999
F3D4D51E,A.A.S.,AE,North Dakota State University,2009
E4117DE9,A.A.S.,ITE,Iowa University,1988
A492113E,B.S.,EE,University of South Carolina,1985